route_name,route_type,stop_number,load_timestamp,stop_name,direction
"F08","Feeder","7","2026-03-30 17:29:27","Dubai Carmel School 1","NTSPS1 -> DFCFC1"
"F21","Feeder","18","2026-03-30 17:29:27","null","ANMS4 -> ANMS4"
"F08","Feeder","12","2026-03-30 17:29:27","Damascus Road 3-1","NTSPS1 -> DFCFC1"
"53","Urban","21","2026-03-30 17:29:27","null","ICPM1 -> GSBS4"
"F21","Feeder","17","2026-03-30 17:29:27","null","ANMS4 -> ANMS4"
"13","Urban","11","2026-03-30 17:29:27","Stadium Metro Bus Stop 1","GSBS9 -> QSDH11"
"53","Urban","19","2026-03-30 17:29:27","International City, Post office 1","GSBS4 -> ICPM1"
"F28","Feeder","3","2026-03-30 17:29:27","null","ETMS2 -> ETMS2"
"F20","Feeder","9","2026-03-30 17:29:27","Al Safa, Street 13A-1","BBMS1 -> BBMS1"
"X28","Urban","25","2026-03-30 17:29:27","null","LLV1 -> DICMS1"
"F35","Feeder","7","2026-03-30 17:29:27","Al Barsha B-1","MEMS1 -> MEMS1"
"F20","Feeder","6","2026-03-30 17:29:27","null","BBMS1 -> BBMS1"
"F25","Feeder","2","2026-03-30 17:29:27","Al Quoz, Pure Water Filling Company 2","FGBMLS1 -> QCRMT1"
"F24","Feeder","0","2026-03-30 17:29:27","null","QIA3T1 -> SMS2"
"F08","Feeder","21","2026-03-30 17:29:27","Al Nahda, Motawa Bldg","DFCFC1 -> NTSPS1"
"22","Urban","22","2026-03-30 17:29:27","null","DCCT1 -> AN1T21"
"F08","Feeder","8","2026-03-30 17:29:27","null","DFCFC1 -> NTSPS1"
"F21","Feeder","0","2026-03-30 17:29:27","Al Nahda  Metro Bus Stop 2","ANMS4 -> ANMS4"
"F41","Feeder","17","2026-03-30 17:29:27","null","BBMSL1 -> BBMSL1"
"X28","Urban","35","2026-03-30 17:29:27","null","LLV1 -> DICMS1"
"F25","Feeder","15","2026-03-30 17:29:27","Al Quoz, Emirates Glass 1","FGBMLS1 -> FGBMLS1"
"53","Urban","16","2026-03-30 17:29:27","City Centre Metro Bus Stop 1-3","ICPM1 -> GSBS4"
"F18","Feeder","4","2026-03-30 17:29:27","null","OMMST1 -> OMMST1"
"F24","Feeder","9","2026-03-30 17:29:27","Al Nahda 1, Mai Tower","QIA3T1 -> SMS2"
"BM1","Marine","1","2026-03-30 17:29:27","null","MTWS1 -> MPWS1"
"F28","Feeder","9","2026-03-30 17:29:27","null","ETMS2 -> ETMS2"
"F31","Feeder","5","2026-03-30 17:29:27","null","TMDBST1 -> DICMSL1"
"F25","Feeder","14","2026-03-30 17:29:27","null","FGBMLS1 -> FGBMLS1"
"F25","Feeder","19","2026-03-30 17:29:27","null","FGBMLS1 -> FGBMLS1"
"53","Urban","23","2026-03-30 17:29:27","Naif Park 2","ICPM1 -> GSBS4"
"F08","Feeder","14","2026-03-30 17:29:27","Damascus Road 1-1","NTSPS1 -> DFCFC1"
"53","Urban","17","2026-03-30 17:29:27","Nad Al Hamar Grand Masjid 2","GSBS4 -> ICPM1"
"F35","Feeder","14","2026-03-30 17:29:27","The Greens, Al Arta 1","MEMS1 -> MEMS1"
"F21","Feeder","4","2026-03-30 17:29:27","null","ANMS4 -> ANMS4"
"F35","Feeder","26","2026-03-30 17:29:27","null","MEMS1 -> MEMS1"
"F08","Feeder","24","2026-03-30 17:29:27","null","NTSPS1 -> DFCFC1"
"F35","Feeder","8","2026-03-30 17:29:27","null","MEMS1 -> MEMS1"
"F24","Feeder","2","2026-03-30 17:29:27","null","SMS2 -> QIA3T1"
"X28","Urban","7","2026-03-30 17:29:27","null","LLV1 -> DICMS1"
"F31","Feeder","6","2026-03-30 17:29:27","The Springs, Entrance gate 5-1","TMDBST1 -> DICMSL1"
"13","Urban","27","2026-03-30 17:29:27","Dubai Taxi Corparation, Main Office 3","GSBS9 -> QSDH11"
"13","Urban","6","2026-03-30 17:29:27","Muraqqabat, Police Station 1","GSBS9 -> QSDH11"
"F24","Feeder","3","2026-03-30 17:29:27","null","SMS2 -> QIA3T1"
"F25","Feeder","9","2026-03-30 17:29:27","null","FGBMLS1 -> QCRMT1"
"F41","Feeder","5","2026-03-30 17:29:27","null","BBMSL1 -> BBMSL1"
"F25","Feeder","2","2026-03-30 17:29:27","null","FGBMLS1 -> QCRMT1"
"F08","Feeder","19","2026-03-30 17:29:27","Al Nahda, 12 St 2","DFCFC1 -> NTSPS1"
"22","Urban","19","2026-03-30 17:29:27","null","DCCT1 -> AN1T21"
"22","Urban","7","2026-03-30 17:29:27","null","DCCT1 -> AN1T21"
"53","Urban","12","2026-03-30 17:29:27","Al Badia residence 1&8,A2-1","ICPM1 -> GSBS4"
"X28","Urban","3","2026-03-30 17:29:27","null","LLV1 -> DICMS1"
"F35","Feeder","28","2026-03-30 17:29:27","null","MEMS1 -> MEMS1"
"X28","Urban","15","2026-03-30 17:29:27","null","LLV1 -> DICMS1"
"F25","Feeder","17","2026-03-30 17:29:27","Al Quoz, Dynamic Industries","FGBMLS1 -> QCRMT1"
"F25","Feeder","5","2026-03-30 17:29:27","null","FGBMLS1 -> FGBMLS1"
"F20","Feeder","7","2026-03-30 17:29:27","null","BBMS1 -> BBMS1"
"F24","Feeder","5","2026-03-30 17:29:27","null","QIA3T1 -> SMS2"
"X28","Urban","21","2026-03-30 17:29:27","null","LLV1 -> DICMS1"
"F08","Feeder","9","2026-03-30 17:29:27","MAN Motors 1","NTSPS1 -> DFCFC1"
"F28","Feeder","11","2026-03-30 17:29:27","Durrah Tower","ETMS2 -> ETMS2"
"F25","Feeder","8","2026-03-30 17:29:27","null","FGBMLS1 -> QCRMT1"
"F20","Feeder","0","2026-03-30 17:29:27","Business Bay Metro Bus Stop Seaside","BBMS1 -> BBMS1"
"13","Urban","19","2026-03-30 17:29:27","null","GSBS9 -> QSDH11"
"F18","Feeder","2","2026-03-30 17:29:27","null","OMMST1 -> OMMST1"
"22","Urban","8","2026-03-30 17:29:27","Dubai Womens College 1","DCCT1 -> AN1T21"
"22","Urban","17","2026-03-30 17:29:27","Al Nahda 1, Masjid Rada 1","DCO1 -> AN1T21"
"F35","Feeder","24","2026-03-30 17:29:27","Jebel Ali Horse Racecourse 2","MEMS1 -> MEMS1"
"F35","Feeder","4","2026-03-30 17:29:27","null","MEMS1 -> MEMS1"
"F18","Feeder","8","2026-03-30 17:29:27","null","OMMST1 -> OMMST1"
"53","Urban","12","2026-03-30 17:29:27","null","ICPM1 -> GSBS4"
"F08","Feeder","2","2026-03-30 17:29:27","null","NTSPS1 -> DFCFC1"
"F25","Feeder","26","2026-03-30 17:29:27","Al Quoz, Al Shirawi Equipment Co 2","FGBMLS1 -> QCRMT1"
"F25","Feeder","25","2026-03-30 17:29:27","7 Up Staff Accommodation 2","FGBMLS1 -> QCRMT1"
"F08","Feeder","3","2026-03-30 17:29:27","null","NTSPS1 -> DFCFC1"
"BM2","Marine","0","2026-03-30 17:29:27","null","DFCS1 -> JWTS1"
"22","Urban","18","2026-03-30 17:29:27","null","DCO1 -> AN1T21"
"53","Urban","14","2026-03-30 17:29:27","Dubai Festival City, Festival Centre 1","ICPM1 -> GSBS4"
"F18","Feeder","6","2026-03-30 17:29:27","Nasr Sports Club 2","OMMST1 -> OMMST1"
"13","Urban","28","2026-03-30 17:29:27","null","GSBS9 -> QSDH11"
"F35","Feeder","29","2026-03-30 17:29:27","Al Barsha, Veterinary Clinic 1","MEMS1 -> MEMS1"
"F28","Feeder","8","2026-03-30 17:29:27","null","ETMS2 -> ETMS2"
"F28","Feeder","0","2026-03-30 17:29:27","null","ETMS2 -> ETMS2"
"F20","Feeder","9","2026-03-30 17:29:27","null","BBMS1 -> BBMS1"
"F20","Feeder","8","2026-03-30 17:29:27","Al Safa, Street 13, Al Razi Boys School","BBMS1 -> BBMS1"
"22","Urban","23","2026-03-30 17:29:27","null","DCO1 -> AN1T21"
"13","Urban","33","2026-03-30 17:29:27","null","GSBS9 -> QSDH11"
"X28","Urban","14","2026-03-30 17:29:27","Dubai Scout Mission 2","LLV1 -> DICMS1"
"22","Urban","16","2026-03-30 17:29:27","Al Nahda 1, Masjid Rada 1","DCCT1 -> AN1T21"
"13","Urban","0","2026-03-30 17:29:27","null","GSBS9 -> QSDH11"
"F25","Feeder","30","2026-03-30 17:29:27","null","FGBMLS1 -> FGBMLS1"
"X28","Urban","18","2026-03-30 17:29:27","null","LLV1 -> DICMS1"
"F25","Feeder","28","2026-03-30 17:29:27","null","FGBMLS1 -> FGBMLS1"
"F41","Feeder","11","2026-03-30 17:29:27","Al Madar Scala Tower 2","BBMSL1 -> BBMSL1"
"F20","Feeder","1","2026-03-30 17:29:27","null","BBMS1 -> BBMS1"
"BM2","Marine","0","2026-03-30 17:29:27","Al Jaddaf Marine Transport Station 1","JWTS1 -> DFCS1"
"F25","Feeder","14","2026-03-30 17:29:27","null","FGBMLS1 -> QCRMT1"
"53","Urban","14","2026-03-30 17:29:27","Al Badia, Deira International School 1","GSBS4 -> ICPM1"
"F21","Feeder","19","2026-03-30 17:29:27","Sheikh Rashid Colony 1-2","ANMS4 -> ANMS4"
"F41","Feeder","13","2026-03-30 17:29:27","Fairview Residency 2","BBMSL1 -> BBMSL1"
"22","Urban","9","2026-03-30 17:29:27","Dubai Womens College 1","DCO1 -> AN1T21"
"F28","Feeder","2","2026-03-30 17:29:27","null","ETMS2 -> ETMS2"
"22","Urban","11","2026-03-30 17:29:27","null","DCCT1 -> AN1T21"
"F35","Feeder","19","2026-03-30 17:29:27","null","MEMS1 -> MEMS1"
"F08","Feeder","23","2026-03-30 17:29:27","Dubai Festival City, IKEA1","NTSPS1 -> DFCFC1"
"F08","Feeder","8","2026-03-30 17:29:27","ENOC, Quds Street","DFCFC1 -> NTSPS1"
"F08","Feeder","8","2026-03-30 17:29:27","null","NTSPS1 -> DFCFC1"
"22","Urban","13","2026-03-30 17:29:27","Al Nahda, 19A Street 1","DCO1 -> AN1T21"
"F24","Feeder","0","2026-03-30 17:29:27","null","SMS2 -> QIA3T1"
"13","Urban","30","2026-03-30 17:29:27","null","GSBS9 -> QSDH11"
"F28","Feeder","12","2026-03-30 17:29:27","Emirates Tower Metro Bus Stop Seaside","ETMS2 -> ETMS2"
"F25","Feeder","15","2026-03-30 17:29:27","null","FGBMLS1 -> QCRMT1"
"13","Urban","38","2026-03-30 17:29:27","Muhaisnah 2, Medical Centre","GSBS9 -> QSDH11"
"53","Urban","9","2026-03-30 17:29:27","null","ICPM1 -> GSBS4"
"53","Urban","20","2026-03-30 17:29:27","International City, Rivera Dreams Apartm","GSBS4 -> ICPM1"
"F25","Feeder","18","2026-03-30 17:29:27","null","FGBMLS1 -> QCRMT1"
"F25","Feeder","11","2026-03-30 17:29:27","null","FGBMLS1 -> FGBMLS1"
"F25","Feeder","27","2026-03-30 17:29:27","null","FGBMLS1 -> FGBMLS1"
"22","Urban","12","2026-03-30 17:29:27","Al Nahda, 19A Street 1","DCCT1 -> AN1T21"
"53","Urban","32","2026-03-30 17:29:27","null","GSBS4 -> ICPM1"
"22","Urban","2","2026-03-30 17:29:27","null","DCO1 -> AN1T21"
"13","Urban","26","2026-03-30 17:29:27","Public Transport Agency 1","GSBS9 -> QSDH11"
"F35","Feeder","2","2026-03-30 17:29:27","Mall of the Emirates 1-2","MEMS1 -> MEMS1"
"JLT2","Urban","4","2026-03-30 17:29:27","JLT, The Dome Tower","JLTMSL -> JLTMSL"
"13","Urban","32","2026-03-30 17:29:27","Muhaisnah 2, Al Ghurair Labour Camp 2","GSBS9 -> QSDH11"
"22","Urban","0","2026-03-30 17:29:27","null","DCCT1 -> AN1T21"
"X28","Urban","32","2026-03-30 17:29:27","null","LLV1 -> DICMS1"
"F41","Feeder","0","2026-03-30 17:29:27","Business Bay Metro Bus Stop Landside","BBMSL1 -> BBMSL1"
"13","Urban","39","2026-03-30 17:29:27","null","GSBS9 -> QSDH11"
"F25","Feeder","8","2026-03-30 17:29:27","null","FGBMLS1 -> FGBMLS1"
"13","Urban","24","2026-03-30 17:29:27","Muhaisnah 4, New Housing 2","GSBS9 -> QSDH11"
"F25","Feeder","12","2026-03-30 17:29:27","null","FGBMLS1 -> FGBMLS1"
"X28","Urban","13","2026-03-30 17:29:27","null","LLV1 -> DICMS1"
"F35","Feeder","17","2026-03-30 17:29:27","The Greens, Al Sidir","MEMS1 -> MEMS1"
"JLT1","Urban","7","2026-03-30 17:29:27","null","DMSL1 -> DMSL1"
"X28","Urban","13","2026-03-30 17:29:27","Al Jadeed Bakery 2","LLV1 -> DICMS1"
"F08","Feeder","12","2026-03-30 17:29:27","null","NTSPS1 -> DFCFC1"
"53","Urban","9","2026-03-30 17:29:27","Al Badia, Entrance 2","ICPM1 -> GSBS4"
"F31","Feeder","19","2026-03-30 17:29:27","null","TMDBST1 -> DICMSL1"
"X28","Urban","0","2026-03-30 17:29:27","null","LLV1 -> DICMS1"
"F31","Feeder","12","2026-03-30 17:29:27","The Greens, Al Sidir","TMDBST1 -> DICMSL1"
"BM1","Marine","0","2026-03-30 17:29:27","null","MPWS1 -> MTWS1"
"22","Urban","15","2026-03-30 17:29:27","null","DCCT1 -> AN1T21"
"13","Urban","6","2026-03-30 17:29:27","null","GSBS9 -> QSDH11"
"53","Urban","17","2026-03-30 17:29:27","null","ICPM1 -> GSBS4"
"53","Urban","21","2026-03-30 17:29:27","null","GSBS4 -> ICPM1"
"BM1","Marine","2","2026-03-30 17:29:27","Marina Walk Marine Transport Station 1","MPWS1 -> MTWS1"
"53","Urban","14","2026-03-30 17:29:27","null","GSBS4 -> ICPM1"
"F25","Feeder","25","2026-03-30 17:29:27","null","FGBMLS1 -> QCRMT1"
"F41","Feeder","4","2026-03-30 17:29:27","null","BBMSL1 -> BBMSL1"
"BM1","Marine","1","2026-03-30 17:29:27","null","MPWS1 -> MTWS1"
"F31","Feeder","16","2026-03-30 17:29:27","Al Barsha Heights, Saleh Bin Lahej Build","TMDBST1 -> DICMSL1"
"F41","Feeder","16","2026-03-30 17:29:27","null","BBMSL1 -> BBMSL1"
"X28","Urban","25","2026-03-30 17:29:27","Jumeira, Grand Masjid","LLV1 -> DICMS1"
"F41","Feeder","17","2026-03-30 17:29:27","XL Tower 2","BBMSL1 -> BBMSL1"
"F21","Feeder","1","2026-03-30 17:29:27","Ministry of Information 2","ANMS4 -> ANMS4"
"F21","Feeder","2","2026-03-30 17:29:27","null","ANMS4 -> ANMS4"
"F08","Feeder","16","2026-03-30 17:29:27","null","NTSPS1 -> DFCFC1"
"F35","Feeder","13","2026-03-30 17:29:27","null","MEMS1 -> MEMS1"
"F20","Feeder","11","2026-03-30 17:29:27","null","BBMS1 -> BBMS1"
"F28","Feeder","8","2026-03-30 17:29:27","Satwa, Roundabout 2","ETMS2 -> ETMS2"
"F08","Feeder","3","2026-03-30 17:29:27","Al Nahda, Madina Super Market 1","NTSPS1 -> DFCFC1"
"F18","Feeder","7","2026-03-30 17:29:27","null","OMMST1 -> OMMST1"
"53","Urban","24","2026-03-30 17:29:27","null","ICPM1 -> GSBS4"
"13","Urban","29","2026-03-30 17:29:27","Muhaisnah 2, Al Shirawi Labour Camp 1","GSBS9 -> QSDH11"
"F31","Feeder","13","2026-03-30 17:29:27","null","TMDBST1 -> DICMSL1"
"F35","Feeder","22","2026-03-30 17:29:27","null","MEMS1 -> MEMS1"
"F31","Feeder","1","2026-03-30 17:29:27","The Meadows, Town Centre 2","TMDBST1 -> DICMSL1"
"F21","Feeder","7","2026-03-30 17:29:27","null","ANMS4 -> ANMS4"
"22","Urban","3","2026-03-30 17:29:27","null","DCO1 -> AN1T21"
"F08","Feeder","2","2026-03-30 17:29:27","null","DFCFC1 -> NTSPS1"
"53","Urban","16","2026-03-30 17:29:27","null","GSBS4 -> ICPM1"
"X28","Urban","7","2026-03-30 17:29:27","Damascus Road 1-1","LLV1 -> DICMS1"
"F25","Feeder","19","2026-03-30 17:29:27","null","FGBMLS1 -> QCRMT1"
"53","Urban","1","2026-03-30 17:29:27","null","GSBS4 -> ICPM1"
"F20","Feeder","1","2026-03-30 17:29:27","Emarat, Headquarters 2, Street 35","BBMS1 -> BBMS1"
"F24","Feeder","5","2026-03-30 17:29:27","null","SMS2 -> QIA3T1"
"53","Urban","26","2026-03-30 17:29:27","null","GSBS4 -> ICPM1"
"F25","Feeder","22","2026-03-30 17:29:27","null","FGBMLS1 -> FGBMLS1"
"F25","Feeder","26","2026-03-30 17:29:27","Al Quoz, Al Shirawi Equipment Co 2","FGBMLS1 -> FGBMLS1"
"53","Urban","23","2026-03-30 17:29:27","null","GSBS4 -> ICPM1"
"F08","Feeder","15","2026-03-30 17:29:27","null","NTSPS1 -> DFCFC1"
"53","Urban","4","2026-03-30 17:29:27","null","GSBS4 -> ICPM1"
"F35","Feeder","25","2026-03-30 17:29:27","Al Barsha E-2","MEMS1 -> MEMS1"
"F20","Feeder","14","2026-03-30 17:29:27","Al Wasl, Street 35, Dar Al Ber Society 2","BBMS1 -> BBMS1"
"F25","Feeder","17","2026-03-30 17:29:27","Al Quoz, Dynamic Industries","FGBMLS1 -> FGBMLS1"
"F08","Feeder","4","2026-03-30 17:29:27","null","NTSPS1 -> DFCFC1"
"53","Urban","20","2026-03-30 17:29:27","null","ICPM1 -> GSBS4"
"F31","Feeder","15","2026-03-30 17:29:27","Al Barsha Heights, Ramee Guestline Hotel","TMDBST1 -> DICMSL1"
"53","Urban","18","2026-03-30 17:29:27","null","ICPM1 -> GSBS4"
"F20","Feeder","0","2026-03-30 17:29:27","null","BBMS1 -> BBMS1"
"22","Urban","7","2026-03-30 17:29:27","null","DCO1 -> AN1T21"
"F35","Feeder","17","2026-03-30 17:29:27","null","MEMS1 -> MEMS1"
"JLT2","Urban","5","2026-03-30 17:29:27","null","JLTMSL -> JLTMSL"
"JLT1","Urban","4","2026-03-30 17:29:27","null","DMSL1 -> DMSL1"
"F41","Feeder","6","2026-03-30 17:29:27","null","BBMSL1 -> BBMSL1"
"F08","Feeder","11","2026-03-30 17:29:27","null","DFCFC1 -> NTSPS1"
"F25","Feeder","23","2026-03-30 17:29:27","null","FGBMLS1 -> QCRMT1"
"F31","Feeder","11","2026-03-30 17:29:27","null","TMDBST1 -> DICMSL1"
"F31","Feeder","2","2026-03-30 17:29:27","null","TMDBST1 -> DICMSL1"
"F35","Feeder","25","2026-03-30 17:29:27","null","MEMS1 -> MEMS1"
"22","Urban","20","2026-03-30 17:29:27","null","DCO1 -> AN1T21"
"F35","Feeder","0","2026-03-30 17:29:27","null","MEMS1 -> MEMS1"
"BM1","Marine","0","2026-03-30 17:29:27","Marina Mall Marine Transport Station 1","MMWS1 -> MTWS1"
"53","Urban","6","2026-03-30 17:29:27","null","GSBS4 -> ICPM1"
"F41","Feeder","1","2026-03-30 17:29:27","The Binary Tower 2","BBMSL1 -> BBMSL1"
"F18","Feeder","8","2026-03-30 17:29:27","Oud Metha Metro Bus Stop 1","OMMST1 -> OMMST1"
"13","Urban","37","2026-03-30 17:29:27","null","GSBS9 -> QSDH11"
"F25","Feeder","28","2026-03-30 17:29:27","Al Quoz, Azzani Ready Mix 1","FGBMLS1 -> FGBMLS1"
"F25","Feeder","11","2026-03-30 17:29:27","Hilton Jumeria Hotel, Accomodation","FGBMLS1 -> QCRMT1"
"F08","Feeder","22","2026-03-30 17:29:27","null","DFCFC1 -> NTSPS1"
"22","Urban","10","2026-03-30 17:29:27","null","DCCT1 -> AN1T21"
"X28","Urban","20","2026-03-30 17:29:27","null","LLV1 -> DICMS1"
"F31","Feeder","8","2026-03-30 17:29:27","Dubai International Academy 1","TMDBST1 -> DICMSL1"
"22","Urban","7","2026-03-30 17:29:27","Emirates Driving Institute 1","DCO1 -> AN1T21"
"F21","Feeder","4","2026-03-30 17:29:27","Al Maaref Private School","ANMS4 -> ANMS4"
"13","Urban","21","2026-03-30 17:29:27","null","GSBS9 -> QSDH11"
"F08","Feeder","15","2026-03-30 17:29:27","Dubai Womens College 1","DFCFC1 -> NTSPS1"
"F41","Feeder","1","2026-03-30 17:29:27","null","BBMSL1 -> BBMSL1"
"F25","Feeder","27","2026-03-30 17:29:27","null","FGBMLS1 -> QCRMT1"
"22","Urban","17","2026-03-30 17:29:27","null","DCCT1 -> AN1T21"
"13","Urban","2","2026-03-30 17:29:27","null","GSBS9 -> QSDH11"
"F41","Feeder","10","2026-03-30 17:29:27","null","BBMSL1 -> BBMSL1"
"F24","Feeder","1","2026-03-30 17:29:27","null","SMS2 -> QIA3T1"
"22","Urban","21","2026-03-30 17:29:27","null","DCCT1 -> AN1T21"
"F08","Feeder","23","2026-03-30 17:29:27","null","NTSPS1 -> DFCFC1"
"F25","Feeder","18","2026-03-30 17:29:27","Al Quoz, APEX Concrete Factory","FGBMLS1 -> QCRMT1"
"F28","Feeder","3","2026-03-30 17:29:27","Wasl, School 2","ETMS2 -> ETMS2"
"53","Urban","13","2026-03-30 17:29:27","null","GSBS4 -> ICPM1"
"53","Urban","19","2026-03-30 17:29:27","Maktoum Road 2","ICPM1 -> GSBS4"
"F28","Feeder","7","2026-03-30 17:29:27","null","ETMS2 -> ETMS2"
"F08","Feeder","20","2026-03-30 17:29:27","null","DFCFC1 -> NTSPS1"
"F35","Feeder","24","2026-03-30 17:29:27","null","MEMS1 -> MEMS1"
"F24","Feeder","4","2026-03-30 17:29:27","Sahara Center 1","SMS2 -> QIA3T1"
"X28","Urban","24","2026-03-30 17:29:27","Etihad Museum 1","LLV1 -> DICMS1"
"F08","Feeder","17","2026-03-30 17:29:27","null","DFCFC1 -> NTSPS1"
"X28","Urban","5","2026-03-30 17:29:27","null","LLV1 -> DICMS1"
"22","Urban","4","2026-03-30 17:29:27","Stadium Metro Bus Stop 1","DCO1 -> AN1T21"
"22","Urban","6","2026-03-30 17:29:27","null","DCO1 -> AN1T21"
"53","Urban","24","2026-03-30 17:29:27","International City, China 3-1","GSBS4 -> ICPM1"
"F35","Feeder","27","2026-03-30 17:29:27","null","MEMS1 -> MEMS1"
"F20","Feeder","17","2026-03-30 17:29:27","Emarat, Headquarters","BBMS1 -> BBMS1"
"13","Urban","15","2026-03-30 17:29:27","null","GSBS9 -> QSDH11"
"13","Urban","27","2026-03-30 17:29:27","null","GSBS9 -> QSDH11"
"F25","Feeder","17","2026-03-30 17:29:27","null","FGBMLS1 -> FGBMLS1"
"F35","Feeder","5","2026-03-30 17:29:27","Sheikh Zayed Service Rd, Coral Boutique","MEMS1 -> MEMS1"
"F08","Feeder","6","2026-03-30 17:29:27","null","NTSPS1 -> DFCFC1"
